movieId,titleString,releaseYear,avgRating,oldId
171,The Hunchback of Notre Dame,1939,3.5,7079
172,Jamaica Inn,1939,3.0,2207
173,The Little Princess,1939,3.5,917
174,Love Affair,1939,3.0,6837
175,Mr. Smith Goes to Washington,1939,4.08,954
176,Ninotchka,1939,4.0,936
177,Of Mice and Men,1939,3.5,4178
178,Only Angels Have Wings,1939,3.0,2847
179,The Roaring Twenties,1939,,25855
180,La règle du jeu,1939,3.5,6783
181,Stagecoach,1939,3.5,7072
182,The Wizard of Oz,1939,3.88,919
183,The Women,1939,4.0,927
184,Wuthering Heights,1939,3.25,25856
185,"All This, and Heaven Too",1940,4.0,38164
186,The Bank Dick,1940,2.5,3929
187,A Chump at Oxford,1940,5.0,47736
188,Down Argentine Way,1940,5.0,83969
189,Fantasia,1940,3.78,1282
190,Flash Gordon Conquers the Universe,1940,1.25,8677
191,Foreign Correspondent,1940,3.5,929
192,Go West,1940,3.0,37211
193,The Grapes of Wrath,1940,4.11,3095
194,The Great Dictator,1940,4.13,1281
195,His Girl Friday,1940,4.39,951
196,I Love You Again,1940,3.5,8232
197,The Invisible Man Returns,1940,2.5,9008
198,The Letter,1940,4.0,25865
199,The Mark of Zorro,1940,3.75,941
200,'Northwest Passage' (Book I -- Rogers' Rangers),1940,3.0,8481
201,Our Town,1940,3.0,3870
202,The Philadelphia Story,1940,4.31,898
203,Pinocchio,1940,3.45,596
204,Pride and Prejudice,1940,3.67,7579
205,Rebecca,1940,4.17,928
206,The Shop Around the Corner,1940,3.67,3097
207,They Drive by Night,1940,4.0,7219
208,The Thief of Bagdad,1940,3.0,5974
209,Citizen Kane,1941,4.04,923
210,Dr. Jekyll and Mr. Hyde,1941,3.75,7208
211,Dumbo,1941,3.39,1029
212,Here Comes Mr. Jordan,1941,3.5,25870
213,High Sierra,1941,4.17,7216
214,Johnny Eager,1941,3.5,8465
215,The Lady Eve,1941,4.0,2935
216,The Little Foxes,1941,4.0,4801
217,Love Crazy,1941,3.5,7839
218,The Maltese Falcon,1941,4.17,913
219,The Man Who Came to Dinner,1941,4.0,8331
220,Meet John Doe,1941,3.9,973
221,Mr. & Mrs. Smith,1941,2.88,2205
222,Penny Serenade,1941,4.0,956
223,Sergeant York,1941,3.83,31116
224,Shadow of the Thin Man,1941,3.5,7833
225,Sullivan's Travels,1941,4.0,2936
226,Suspicion,1941,4.0,2206
227,The Wolf Man,1941,3.6,2654
228,You'll Never Get Rich,1941,3.5,6912
229,Bambi,1942,3.37,2018
230,I bambini ci guardano,1943,3.5,1156
231,Casablanca,1942,4.24,912
232,Cat People,1942,4.0,7713
233,Flying Tigers,1942,3.0,3628
234,Holiday Inn,1942,3.62,3061
235,The Magnificent Ambersons,1942,3.5,5177
236,The Major and the Minor,1942,3.5,8336
237,Mrs. Miniver,1942,4.0,1936
238,"Now, Voyager",1942,3.67,4920
239,The Palm Beach Story,1942,4.1,2937
240,The Pride of the Yankees,1942,3.5,5644
241,Random Harvest,1942,4.0,25886
242,Road to Morocco,1942,3.5,5231
243,Saboteur,1942,3.88,2204
244,Sherlock Holmes and the Secret Weapon,1942,3.0,8773
245,Tales of Manhattan,1942,5.0,25887
246,The Talk of the Town,1942,4.0,6228
247,Kate & Leopold,2001,3.21,4992
248,This Gun for Hire,1942,,8765
249,To Be or Not to Be,1942,2.5,946
250,Woman of the Year,1942,4.0,7584
251,Yankee Doodle Dandy,1942,4.0,6856
252,Le corbeau,1943,4.25,7333
253,For Whom the Bell Tolls,1943,3.75,897
254,Frankenstein Meets the Wolf Man,1943,1.0,2651
255,I Walked with a Zombie,1943,2.0,7883
256,Meshes of the Afternoon,1943,3.0,51573
257,The Ox-Bow Incident,1942,4.5,7218
258,Shadow of a Doubt,1943,4.14,2203
259,The Song of Bernadette,1943,3.0,6477
260,Vredens dag,1943,4.0,25898
261,Watch on the Rhine,1943,4.0,7479
262,Arsenic and Old Lace,1944,3.88,1269
263,Double Indemnity,1944,4.32,3435
264,Dragon Seed,1944,3.5,8461
265,The Fighting Seabees,1944,3.5,3643
266,Gaslight,1944,4.14,906
267,The Best Years of Our Lives,1946,4.06,1939
268,Going My Way,1944,3.25,1937
269,Jane Eyre,1943,5.0,6983
270,Laura,1944,4.33,942
271,Lifeboat,1944,4.36,2202
272,Meet Me in St. Louis,1944,4.1,918
273,The Miracle of Morgan's Creek,1943,3.5,25905
274,Mr. Skeffington,1944,5.0,25906
275,National Velvet,1944,3.75,7059
276,The Princess and the Pirate,1944,4.0,71970
277,The Thin Man Goes Home,1944,3.5,7832
278,To Have and Have Not,1944,3.5,7215
279,Anchors Aweigh,1945,3.2,3599
280,And Then There Were None,1945,3.62,4969
281,The Bells of St. Mary's,1945,3.5,7702
282,The Body Snatcher,1945,4.5,1337
283,Brief Encounter,1945,3.5,2927
284,Dead of Night,1945,0.5,6967
285,Detour,1945,3.5,3966
286,I Know Where I'm Going!,1945,,4194
287,The Lost Weekend,1945,4.0,1938
288,Mildred Pierce,1945,4.0,2612
289,"Objective, Burma!",1945,3.0,6434
290,The Picture of Dorian Gray,1945,2.0,8482
291,Spellbound,1945,3.83,931
292,The Three Caballeros,1944,3.67,1024
293,The Woman in Green,1945,3.5,8774
294,La Belle et la Bête,1946,3.25,7064
295,The Big Sleep,1946,4.14,1284
296,Dressed to Kill,1946,3.75,8778
297,Duel in the Sun,1946,5.0,3792
298,Gilda,1946,4.0,2940
299,Great Expectations,1946,3.5,25923
300,The Harvey Girls,1946,3.0,5375
301,It's a Wonderful Life,1946,4.03,953
302,The Jolson Story,1946,3.5,6911
303,The Killers,1946,4.0,7943
304,Night and Day,1946,2.5,8714
305,Notorious,1946,4.25,930
306,Paisà,1946,4.0,68872
307,The Postman Always Rings Twice,1946,3.67,7728
308,Roma città aperta,1945,4.0,5304
309,Song of the South,1946,3.42,2099
310,The Spiral Staircase,1946,4.0,3849
311,The Strange Love of Martha Ivers,1946,3.5,3965
312,The Stranger,1946,3.0,25927
313,Terror by Night,1946,3.0,8771
314,To Each His Own,1946,3.5,8458
315,Undercurrent,1946,3.5,7772
316,The Yearling,1946,4.0,5601
317,The Bachelor and the Bobby-Soxer,1947,3.0,8695
318,The Bishop's Wife,1947,4.0,4184
319,Black Narcissus,1947,4.0,8338
320,Born to Kill,1947,4.0,47566
321,Crossfire,1947,3.5,1068
322,Dark Passage,1947,4.0,7217
323,A Double Life,1947,2.5,6603
324,The Farmer's Daughter,1947,3.5,8611
325,The Fugitive,1947,3.0,55854
326,Gentleman's Agreement,1947,4.0,1940
327,Germania anno zero,1948,3.5,31973
328,The Ghost and Mrs. Muir,1947,3.93,943
329,It Happened on Fifth Avenue,1947,4.5,84246
330,Life with Father,1947,3.5,7058
331,Miracle on 34th Street,1947,4.06,2398
332,Monsieur Verdoux,1947,4.0,3632
333,Out of the Past,1947,4.12,2066
334,The Paradine Case,1947,3.5,2201
335,The Secret Life of Walter Mitty,1947,3.5,7826
336,Song of the Thin Man,1947,3.5,7835
337,Bud Abbott and Lou Costello Meet Frankenstein,1948,3.75,3928
338,Call Northside 777,1948,,32371
339,Easter Parade,1948,3.33,25937
340,The Fallen Idol,1948,2.5,46664
341,Hamlet,1948,3.5,1941
342,I Remember Mama,1948,4.0,31030
343,Johnny Belinda,1948,4.0,8463
344,Jour de fête,1949,3.0,32875
345,Key Largo,1948,4.2,3334
346,Ladri di biciclette,1948,4.12,3089
347,The Lady from Shanghai,1947,3.5,25940
348,Mr. Blandings Builds His Dream House,1948,3.0,8711
349,Oliver Twist,1948,3.83,8341
350,Red River,1948,4.0,7070
351,The Red Shoes,1948,3.5,6660
352,Rope,1948,3.9,2176
353,The Snake Pit,1948,3.5,8718
354,"Sorry, Wrong Number",1948,3.8,5434
355,The Three Musketeers,1948,3.5,25946
356,The Treasure of the Sierra Madre,1948,3.66,1254
357,Unfaithfully Yours,1948,5.0,25947
358,Adam's Rib,1949,4.75,7121
359,The Adventures of Ichabod and Mr. Toad,1949,3.0,3964
360,All the King's Men,1949,4.25,1942
361,The Blue Lagoon,1949,3.0,123545
362,The Fountainhead,1949,3.25,7581
363,Gigi,1949,3.75,89939
364,The Heiress,1949,3.5,8459
365,I Shot Jesse James,1949,2.0,81681
366,I Was a Male War Bride,1949,4.25,7212
367,The Inspector General,1949,3.0,963
368,Kind Hearts and Coronets,1949,3.33,6650
369,A Letter to Three Wives,1949,4.0,25952
370,Little Women,1949,3.5,7054
371,Mighty Joe Young,1949,2.83,2430
372,Nora inu,1949,3.5,7924
373,On the Town,1949,3.75,3606
374,Sands of Iwo Jima,1949,2.5,8446
375,Le sang des bêtes,1949,4.0,71453
376,She Wore a Yellow Ribbon,1949,3.0,5440
377,The Third Man,1949,4.23,1212
378,Too Late for Tears,1949,4.0,130482
379,Twelve O'Clock High,1949,4.5,4338
380,White Heat,1949,3.67,8491
381,All About Eve,1950,4.23,926
382,Annie Get Your Gun,1950,2.5,25959
383,The Asphalt Jungle,1950,3.67,3364
384,Born Yesterday,1950,4.29,3341
385,Broken Arrow,1950,3.0,54121
386,Cheaper by the Dozen,1950,2.75,7395
387,Cinderella,1950,3.49,1022
388,D.O.A.,1949,2.5,7223
389,Father of the Bride,1950,3.25,934
390,Harvey,1950,3.83,3088
391,In a Lonely Place,1950,3.5,6273
392,Journal d'un curé de campagne,1951,3.5,7301
393,King Solomon's Mines,1950,3.0,25962
394,Last Holiday,1950,4.0,91666
395,Los olvidados,1950,4.0,25963
396,Rashômon,1950,3.94,5291
397,Rio Grande,1950,3.5,5826
398,Stage Fright,1950,3.5,2187
399,Sunset Blvd.,1950,4.33,922
400,Treasure Island,1950,3.25,6405
401,Winchester '73,1950,4.0,6429
402,The Wooden Horse,1950,3.0,160422
403,The African Queen,1951,3.97,969
404,Alice in Wonderland,1951,3.38,1032
405,An American in Paris,1951,3.71,900
406,Ace in the Hole,1951,3.0,3736
407,The Browning Version,1951,,34482
408,Captain Horatio Hornblower R.N.,1951,3.0,3406
409,The Day the Earth Stood Still,1951,3.82,1253
410,Happy Go Lovely,1951,4.5,3315
411,Jeux interdits,1952,3.5,6982
412,People Will Talk,1951,3.5,7211
413,Don Camillo,1952,3.0,50356
414,A Place in the Sun,1951,4.5,3475
415,Quo Vadis,1951,3.0,33781
416,The Red Badge of Courage,1951,4.0,6181
417,Royal Wedding,1951,3.0,5168
418,Scrooge,1951,3.25,8492
419,Show Boat,1951,3.0,8502
420,Strangers on a Train,1951,3.98,2186
421,A Streetcar Named Desire,1951,4.47,1104
422,The Thing from Another World,1951,3.5,2660
423,When Worlds Collide,1951,5.0,4813
424,The Bad and the Beautiful,1952,4.0,5114
425,"Come Back, Little Sheba",1952,4.0,8875
426,The Crimson Pirate,1952,3.0,3417
427,High Noon,1952,4.21,1283
428,Ikiru,1952,3.42,6669
429,The Importance of Being Earnest,1952,4.33,5470
430,The Lavender Hill Mob,1951,4.5,5603
431,Limelight,1952,3.67,3559
432,The Man in the White Suit,1951,3.5,5604
433,Monkey Business,1952,2.5,5397
434,Pat and Mike,1952,4.0,7705
435,The Quiet Man,1952,3.5,1226
436,Le retour de Don Camillo,1953,3.0,50354
437,Scaramouche,1952,3.0,6527
438,Singin' in the Rain,1952,4.07,899
439,The Tragedy of Othello: The Moor of Venice,1951,4.0,2848
440,Umberto D.,1952,5.0,6611
441,"The 5,000 Fingers of Dr. T.",1953,4.0,4294
442,The Band Wagon,1953,3.83,935
443,Calamity Jane,1953,3.5,5372
444,Duck Amuck,1953,4.0,134849
445,From Here to Eternity,1953,3.95,1944
446,Gentlemen Prefer Blondes,1953,3.8,4356
447,Glen or Glenda,1953,4.0,2362
448,House of Wax,1953,3.5,6629
449,How to Marry a Millionaire,1953,4.5,4357
450,I Confess,1953,4.0,2185
451,It Came from Outer Space,1953,3.0,2661
452,Kiss Me Kate,1953,3.5,6358
453,Mogambo,1953,3.0,7822
454,Niagara,1953,,2939
455,Peter Pan,1953,3.57,2087
456,Pickup on South Street,1953,4.0,7335
457,Roman Holiday,1953,4.06,916
458,Le salaire de la peur,1953,3.3,7700
459,Shane,1953,3.9,3871
460,Stalag 17,1953,3.72,3196
461,Beat the Devil,1953,3.5,970
462,Titanic,1953,3.58,3404
463,Tôkyô monogatari,1953,2.62,6643
464,Touchez pas au grisbi,1954,3.0,31590
465,Ugetsu monogatari,1953,2.5,8199
466,Les vacances de Monsieur Hulot,1953,3.5,7209
467,I vitelloni,1953,3.5,8848
468,The War of the Worlds,1953,3.17,2662
469,"20,000 Leagues Under the Sea",1954,3.47,1019
470,The Barefoot Contessa,1954,3.0,4420
471,Brigadoon,1954,4.0,8008
472,The Caine Mutiny,1954,4.0,8337
473,The Country Girl,1954,3.5,8920
474,Creature from the Black Lagoon,1954,2.12,3930
475,The Dam Busters,1955,4.0,49688
476,Les diaboliques,1955,3.12,7116
477,Dial M for Murder,1954,4.1,1086
478,Executive Suite,1954,3.0,8462
479,The Glenn Miller Story,1954,4.0,6237
480,Gojira,1954,2.17,2363
481,Marcelino pan y vino,1955,3.5,8685
482,On the Waterfront,1954,4.19,1945
483,Rear Window,1954,4.26,904
484,Sabrina,1954,3.77,915
485,Sanshô dayû,1954,3.5,8188
486,Seven Brides for Seven Brothers,1954,3.75,6785
487,Shichinin no samurai,1954,4.19,2019
488,A Star Is Born,1954,3.5,25996
489,La strada,1954,4.25,7234
490,Suddenly,1954,3.5,8410
491,Them!,1954,3.8,2287
492,This Island Earth,1955,1.0,8447
493,White Christmas,1954,4.19,3675
494,The Wild One,1953,3.5,25999
495,Yama no oto,1954,4.5,62208
496,All That Heaven Allows,1955,4.25,4419
497,Animal Farm,1954,1.0,35347
498,Bad Day at Black Rock,1955,3.5,8094
499,Blackboard Jungle,1955,3.25,8451
500,Bob le flambeur,1956,3.33,5333
501,Davy Crockett: King of the Wild Frontier,1955,3.0,1008
502,Du rififi chez les hommes,1955,4.75,4298
503,East of Eden,1955,3.92,949
504,Guys and Dolls,1955,3.94,3549
505,Killer's Kiss,1955,3.0,2727
506,Kiss Me Deadly,1955,4.0,4426
507,Lady and the Tramp,1955,3.4,2080
508,The Ladykillers,1955,3.5,5602
509,Lola Montès,1955,3.5,8143
510,Love Is a Many-Splendored Thing,1955,4.0,3414
511,The Man with the Golden Arm,1955,5.0,3678
512,Marty,1955,3.83,1946
513,Mister Roberts,1955,3.82,3035
514,Mr. Arkadin,1955,3.5,26002
515,Muerte de un ciclista,1955,3.0,71147
516,The Night of the Hunter,1955,4.0,7013
517,Nuit et brouillard,1956,4.5,26003
518,Oklahoma!,1955,4.5,7614
519,Ordet,1955,3.75,6981
520,Pather Panchali,1955,4.25,668
521,Picnic,1955,3.0,982
522,Rebel Without a Cause,1955,4.1,1103
523,The Rose Tattoo,1955,3.5,8921
524,The Seven Year Itch,1955,3.38,4359
525,Tarantula,1955,3.0,2656
526,To Catch a Thief,1955,4.22,933
527,The Trouble with Harry,1955,3.42,2184
528,We're No Angels,1955,4.5,32469
529,Anastasia,1956,3.5,6516
530,Aparajito,1956,3.75,6918
531,Around the World in Eighty Days,1956,3.62,952
532,The Bad Seed,1956,4.0,2967
533,Le ballon rouge,1956,3.5,47721
534,The Beast of Hollow Mountain,1956,0.5,125221
535,The Court Jester,1955,3.5,7075
536,Earth vs. the Flying Saucers,1956,1.0,2665
537,Et Dieu... créa la femme,1956,4.0,3845
538,Forbidden Planet,1956,3.81,1301
539,Friendly Persuasion,1956,4.0,4046
540,Giant,1956,3.92,948
541,The Harder They Fall,1956,4.0,6064
542,High Society,1956,3.0,6357
543,Indestructible Man,1956,0.5,8136
544,Invasion of the Body Snatchers,1956,3.77,2664
545,The Killing,1956,4.06,2726
546,The King and I,1956,4.17,2565
547,Love Me Tender,1956,3.5,5550
548,Lust for Life,1956,2.5,8153
549,The Man Who Knew Too Much,1956,3.56,2183
550,Moby Dick,1956,4.5,4429
551,Pekka ja Pätkä Suez'illa,1958,3.5,73501
552,The Searchers,1956,4.07,3365
553,The Teahouse of the August Moon,1956,4.0,35807
554,The Ten Commandments,1956,3.75,7386
555,Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956,3.5,8684
556,War and Peace,1956,3.5,5975
557,While the City Sleeps,1956,0.5,8236
558,Written on the Wind,1956,4.25,4433
559,12 Angry Men,1957,4.15,1203
560,20 Million Miles to Earth,1957,5.0,5468
561,3:10 to Yuma,1957,4.0,5300
562,The Abominable Snowman,1957,4.0,3648
563,An Affair to Remember,1957,3.94,932
564,Attack of the Crab Monsters,1957,3.0,5979
565,Beginning of the End,1957,1.0,6302
566,The Bridge on the River Kwai,1957,4.12,1250
567,The Curse of Frankenstein,1957,3.0,2652
568,Designing Woman,1957,3.5,5116
569,Desk Set,1957,3.75,6970
570,A Face in the Crowd,1957,4.2,3038
571,Funny Face,1957,3.0,901
572,The Incredible Shrinking Man,1957,3.0,4966
573,A King in New York,1957,4.0,3640
574,Kumonosu-jô,1957,4.0,7766
575,Letyat zhuravli,1957,4.0,5373
576,Love in the Afternoon,1957,3.5,937
577,Mon oncle,1958,3.83,7206
578,My Man Godfrey,1957,5.0,3096
579,Le notti di Cabiria,1957,4.29,2351
580,Old Yeller,1957,3.44,1012
581,The Pajama Game,1957,3.67,2874
582,Paths of Glory,1957,4.54,1178
583,Pekka ja Pätkä salapoliiseina,1957,4.0,84553
584,Peyton Place,1957,3.5,7357
585,Silk Stockings,1957,3.5,6390
586,Det sjunde inseglet,1957,4.22,1237
587,Smultronstället,1957,3.75,5147
588,Sweet Smell of Success,1957,4.12,4432
589,The Three Faces of Eve,1957,4.0,7493
590,Witness for the Prosecution,1957,4.39,5008
591,The Wrong Man,1956,2.88,2182
592,The 7th Voyage of Sinbad,1958,4.4,3153
593,Ansiktet,1958,4.5,7940
594,Ascenseur pour l'échafaud,1958,4.0,32179
595,Attack of the 50 Foot Woman,1958,4.5,71302
596,Attack of the Puppet People,1958,4.0,6656
597,Auntie Mame,1958,3.7,3548
598,Bell Book and Candle,1958,3.38,3516
599,The Big Country,1958,3.25,3368
600,The Blob,1958,3.0,1334
601,Cat on a Hot Tin Roof,1958,4.1,971
602,Damn Yankees,1958,3.5,8989
603,The Defiant Ones,1958,3.5,4998
604,Dracula,1958,3.0,5649
605,The Fly,1958,3.38,2454
606,Gigi,1958,3.25,938
607,Houseboat,1958,2.0,5836
608,I Want to Live!,1958,3.0,5384
609,Indiscreet,1958,3.5,4798
610,Kakushi-toride no san-akunin,1958,4.25,7925
611,The Legend of Sleepy Hollow,1949,2.0,101074
612,"The Long, Hot Summer",1958,4.0,6452
613,A Night to Remember,1958,3.0,3405
614,The Old Man and the Sea,1958,3.5,1085
615,Plan 9 from Outer Space,1957,3.19,1924
616,Popiól i diament,1958,4.0,7238
617,"Run Silent, Run Deep",1958,3.6,2670
618,I soliti ignoti,1958,4.0,4395
619,South Pacific,1958,3.78,2941
620,Teacher's Pet,1958,4.0,26038
621,Touch of Evil,1958,4.26,1248
622,Vertigo,1958,4.03,903
623,Anatomy of a Murder,1959,4.0,3801
624,The Angry Red Planet,1959,4.5,4942
625,Apur Sansar,1959,4.75,670
626,The Atomic Submarine,1959,3.0,94262
627,Ben-Hur,1959,3.94,1287
628,The Brain That Wouldn't Die,1962,1.5,3833
629,A Bucket of Blood,1959,2.5,7993
630,Darby O'Gill and the Little People,1959,2.75,2043
631,The Diary of Anne Frank,1959,4.0,7303
632,Gidget,1959,3.5,7916
633,Hiroshima mon amour,1959,4.0,8197
634,The Horse Soldiers,1959,4.0,4323
635,Imitation of Life,1959,3.5,6031
636,Journey to the Center of the Earth,1959,2.75,6239
637,The Killer Shrews,1959,0.5,3933
638,The Mouse That Roared,1959,3.0,6561
639,The Mummy,1959,3.33,2634
640,Ningen no jôken,1959,4.5,8484
641,Ningen no jôken,1959,4.5,26048
642,North by Northwest,1959,4.18,908
643,On the Beach,1959,4.5,3379
644,Operation Petticoat,1959,3.0,4802
645,Orfeu Negro,1959,4.0,7088
646,Pickpocket,1959,2.75,26052
647,Pillow Talk,1959,3.83,6183
648,Pork Chop Hill,1959,3.5,2669
649,Les quatre cents coups,1959,4.0,2731
650,Rio Bravo,1959,3.67,4329
651,Room at the Top,1958,4.0,3171
652,The Shaggy Dog,1959,2.9,1016
653,Sleeping Beauty,1959,3.41,2096
654,Some Like It Hot,1959,4.01,910
655,"Suddenly, Last Summer",1959,3.5,3872
656,A Summer Place,1959,3.0,7131
657,Les yeux sans visage,1960,3.0,841
658,À bout de souffle,1960,3.94,4914
659,13 Ghosts,1960,3.12,4792
660,The Alamo,1960,3.38,4042
661,The Amazing Transparent Man,1960,3.5,6836
